                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2061,                 2.2233,                 1.2649,                0.70782,                 0.6744,                0.67805,                0.28463,                 1.7438,                 1.2284,                 1.0712,             0.00066635,             0.00066635,             0.00066635
                      2,                 1.7703,                 1.2983,                 1.0891,                 0.6745,                0.67731,                0.66689,                0.27675,                 1.6392,                 1.2939,                  1.036,               0.001201,               0.001201,               0.001201
                      3,                 1.6673,                 1.2123,                 1.0558,                0.77155,                0.74761,                0.78153,                0.35651,                  1.546,                 1.1194,                 1.0064,              0.0016037,              0.0016037,              0.0016037
