                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4177,                 0.9605,                  1.077,                0.94772,                 0.9125,                0.92825,                0.46591,                 1.5519,                0.94279,                 1.0967,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4124,                0.94914,                 1.0735,                0.97081,                   0.95,                0.94798,                0.43872,                 1.6277,                0.90183,                 1.1525,              0.0016634,              0.0016634,              0.0016634
                     37,                  1.402,                0.95664,                 1.0664,                0.78747,                0.74107,                0.79051,                0.36032,                  1.736,                 1.0712,                  1.192,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.4041,                0.93612,                 1.0689,                0.87195,                  0.825,                0.88428,                0.40166,                 1.6807,                 1.0051,                 1.1519,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.4132,                0.94071,                 1.0587,                0.86244,                0.78376,                0.83795,                0.38696,                 1.7203,                 1.0226,                 1.1804,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.3932,                0.94134,                 1.0565,                0.88257,                0.84557,                0.88357,                0.43965,                 1.6279,                0.89884,                 1.1317,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3929,                0.92373,                 1.0587,                0.89716,                 0.9125,                0.91417,                0.49204,                 1.4951,                0.82514,                 1.0734,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.372,                0.92501,                 1.0477,                0.92859,                 0.9125,                0.92573,                0.47821,                 1.5109,                0.84976,                 1.1053,               0.001604,               0.001604,               0.001604
                     43,                  1.376,                0.90231,                 1.0554,                0.92591,                    0.9,                0.92269,                0.43969,                    1.6,                0.90615,                 1.1183,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.3636,                0.89986,                 1.0549,                0.93615,                0.91633,                0.93794,                0.46399,                 1.5848,                0.83814,                 1.1457,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.3477,                 0.8766,                 1.0451,                0.91006,                0.88537,                0.89042,                0.44627,                 1.5236,                0.87819,                 1.1026,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.346,                0.87053,                 1.0453,                0.95171,                 0.9125,                 0.9377,                0.46769,                 1.5434,                0.85438,                 1.0918,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.3572,                0.88032,                 1.0473,                0.89292,                 0.8625,                0.88817,                0.47113,                 1.5504,                0.87051,                 1.1031,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.3576,                0.87122,                 1.0533,                0.93332,                0.87487,                0.89785,                0.47894,                 1.5501,                0.84819,                 1.1305,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.3339,                0.88284,                 1.0446,                 0.8618,                0.85748,                0.89414,                0.45128,                 1.5617,                0.90499,                 1.1269,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.3238,                0.85245,                 1.0337,                0.84237,                 0.8375,                0.84824,                0.42514,                 1.6497,                0.86774,                 1.1798,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.3212,                0.83219,                  1.025,                 0.9007,                  0.875,                0.87838,                0.43415,                 1.6615,                0.91434,                  1.164,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.3205,                0.84789,                 1.0394,                 0.9304,                  0.875,                0.90476,                0.43441,                 1.6782,                0.82173,                 1.1607,               0.001505,               0.001505,               0.001505
                     53,                 1.3254,                 0.8319,                 1.0268,                0.89191,                0.82513,                 0.8717,                 0.4013,                  1.694,                0.89053,                 1.1658,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.3129,                0.82653,                 1.0307,                0.92066,                    0.9,                0.93023,                0.46991,                 1.6773,                0.86407,                 1.1704,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.3029,                0.80555,                 1.0216,                 0.9479,                0.90968,                0.91967,                0.46721,                 1.5956,                 0.7497,                 1.1187,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.2791,                0.79835,                 1.0193,                0.92073,                0.87116,                 0.9116,                0.43638,                 1.5695,                0.81235,                 1.1276,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.3113,                 0.8114,                 1.0395,                0.93241,                 0.8625,                0.90612,                0.44683,                 1.6565,                0.81884,                 1.1745,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.2862,                0.81027,                  1.031,                0.92071,                 0.8709,                0.89354,                0.47662,                 1.5594,                0.77564,                 1.0979,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.2637,                0.79209,                 1.0068,                0.87512,                   0.85,                0.89335,                 0.4407,                 1.6624,                0.84534,                 1.1701,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.2674,                0.79013,                 1.0201,                0.90308,                 0.8875,                0.88485,                0.45268,                 1.5978,                0.83888,                 1.1593,              0.0014258,              0.0014258,              0.0014258
