                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.186,                0.71218,                0.90165,                0.95337,                0.92454,                0.95721,                0.56172,                  1.319,                0.75226,                0.92028,             0.00066631,             0.00066631,             0.00066631
                      2,                 1.2763,                 0.7853,                0.92091,                 0.9128,                0.87329,                0.92273,                 0.5069,                 1.4287,                0.87317,                0.93468,              0.0012802,              0.0012802,              0.0012802
                      3,                 1.3024,                0.81453,                0.92802,                0.91219,                0.89336,                0.92824,                0.48955,                 1.4208,                0.87562,                0.93152,              0.0018413,              0.0018413,              0.0018413
                      4,                 1.3142,                0.81685,                0.92992,                0.93544,                0.91102,                0.94399,                0.55325,                 1.3317,                0.78809,                0.92921,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2995,                0.79233,                0.92547,                0.94354,                0.92791,                 0.9537,                0.57881,                 1.2184,                0.74523,                0.89748,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2802,                0.76683,                 0.9214,                 0.9343,                0.91557,                0.94366,                0.50826,                 1.4301,                0.83292,                0.93533,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2563,                0.75525,                0.91641,                0.94572,                0.92949,                0.95778,                0.58113,                 1.2387,                0.70041,                0.90449,               0.001604,               0.001604,               0.001604
                      8,                 1.2442,                0.73883,                  0.913,                0.95179,                0.93253,                0.96464,                0.58963,                 1.2741,                0.72729,                0.91344,              0.0015248,              0.0015248,              0.0015248
                      9,                  1.217,                0.71903,                0.90858,                0.94387,                0.92895,                0.96405,                0.60198,                 1.2489,                0.70868,                0.90006,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.2008,                0.68999,                0.90496,                0.96472,                 0.9439,                0.97274,                0.60684,                 1.2211,                0.66055,                0.88852,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.1834,                0.67889,                0.90243,                0.95069,                0.94679,                0.96874,                0.59963,                 1.2743,                0.66273,                0.90699,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1585,                0.64947,                0.89482,                 0.9636,                0.96227,                 0.9776,                0.61763,                 1.2367,                0.62436,                0.89957,               0.001208,               0.001208,               0.001208
                     13,                 1.1364,                0.63446,                0.89256,                0.96214,                0.96495,                0.97534,                0.63147,                 1.1772,                0.61145,                0.88623,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.1187,                 0.6192,                0.88906,                0.96538,                0.95665,                0.97661,                0.63572,                 1.1894,                0.60885,                0.88841,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.0994,                0.59298,                0.88596,                0.96378,                0.96869,                0.98215,                 0.6368,                 1.2182,                 0.5857,                0.89216,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.0802,                0.57401,                0.87995,                0.96048,                0.94153,                0.97082,                0.61235,                 1.2602,                0.61837,                0.90337,              0.0008912,              0.0008912,              0.0008912
                     17,                  1.062,                0.55781,                 0.8793,                0.97255,                 0.9612,                 0.9804,                 0.6545,                 1.1528,                0.55227,                0.87856,               0.000812,               0.000812,               0.000812
                     18,                 1.0309,                0.54018,                0.87125,                0.97319,                0.96176,                0.98056,                0.63572,                 1.2163,                0.56519,                0.88793,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.0072,                0.51983,                0.86466,                 0.9696,                0.96214,                0.97883,                0.67161,                 1.1149,                0.53446,                0.87248,              0.0006536,              0.0006536,              0.0006536
                     20,                0.98623,                0.50644,                0.86403,                0.97508,                0.95879,                0.98123,                0.64405,                 1.2162,                0.54509,                0.89535,              0.0005744,              0.0005744,              0.0005744
                     21,                0.97314,                0.49441,                0.86102,                0.97276,                0.96602,                0.98376,                0.62803,                 1.2522,                0.54515,                0.89305,              0.0004952,              0.0004952,              0.0004952
                     22,                0.94472,                0.48214,                0.85549,                0.97565,                0.96869,                0.98499,                0.65259,                 1.1884,                0.52328,                0.88121,               0.000416,               0.000416,               0.000416
                     23,                0.91685,                0.46492,                0.84991,                0.97523,                0.96943,                0.98551,                  0.654,                 1.1875,                0.51327,                0.87976,              0.0003368,              0.0003368,              0.0003368
                     24,                0.90419,                0.45598,                0.84788,                0.97912,                0.96909,                0.98749,                0.66721,                 1.1642,                0.49944,                0.87517,              0.0002576,              0.0002576,              0.0002576
                     25,                0.88234,                0.44635,                0.84372,                0.97693,                0.97043,                0.98607,                0.66556,                  1.153,                0.50061,                0.87346,              0.0001784,              0.0001784,              0.0001784
